1,"sushi,bento,cream,the,crop,big,flavour,small,price,spici,garlic,edamam,poach,green,soy,bean,toss,with,salt,fresh,chilli,and,garlic"
2,"sushi,bento,cream,the,crop,big,flavour,small,price,soft,shell,crab,deepfri,soft,shell,crab,with,light,ponzu,sauc"
3,"sushi,bento,cream,the,crop,big,flavour,small,price,harumaki,deepfri,japanes,style,veget,springrol"
5,"singaporean,burger,guilti,pleasur,taco,big,flavour,small,price,rendang,beef,sixhour,slow,cook,beef,brisket,and,shin,coconut,milk,and,malay,spice,pickl,carrot,and,cucumb"
6,"chines,bun,boeuf,vermicel,boeuf,nem"
7,"chines,crevett,curri,roug,crme,coco"
8,"chines,eminc,buf,marin,faon,chef"
9,"chines,nem,boeuf,pice"
10,"italian,guilti,pleasur,onli,deliveroo,ravioli,formagi,pasta,casera,rellena,provolon,crema,parmiggiano,reggiano,emment,brie,gorgonzola,queso,cabra,gratinado,queso,raclett"
27,"american,western,burger,pasta,smoothi,most,love,burger,fast,lunch,luxuri,blt,burger,bacon,lettuc,dri,tomato,avocado,chees,blt"
29,"chines,canard,sauc,sichuannais,piment"
38,"pizza,pasta,gluten,free,pizza,costa,mit,mozzarella,salsiccia,und,pomm"
39,"pizza,pasta,gluten,free,pizz,formagi,mit,mozzarella,edam,gorgonzola,und,grana,padano"
40,"pizza,pasta,gluten,free,saltimbocca,nostromo,focaccia,mit,thunfisch,blattsalat,kirschtomaten,mozzarella,und,mayonnais"
45,"indian,tandoori,big,flavour,small,price,kadhai,paneer,cottag,chees,cook,tangi,tomato,onion,masala,with,crush,coriand,seed"
46,"indian,tandoori,big,flavour,small,price,aloo,bhukara,kofta,potato,bell,pepper,plum,dumpl,cook,tomato,cashew,nut,gravi"
47,"indian,tandoori,big,flavour,small,price,homestyl,bhindi,masala,stirfri,okra,with,onion,tomato,turmer,amchur,coriand"
48,"indian,tandoori,big,flavour,small,price,kebab,platter,murgh,malai,tikka,chicken,tikka,bhatti,murgh,murgh,anari,seekh"
61,"italian,guilti,pleasur,onli,deliveroo,cotoletta,alla,bolognesa,filet,ternera,vila,jamn,york,gratinado,con,queso,raclett,gratinado,horno"
71,"pizza,pasta,gluten,free,parmigiana,all,melanzan,auberginenauflauf"
73,"indian,tandoori,big,flavour,small,price,biryani,rice,saffron,basmati,rice,with,caramelis,onion,spice"
74,"indian,tandoori,big,flavour,small,price,papdi,chaat,flour,pastri,spice,mash,potato,top,with,sweet,yoghurt,tamarind,mint,chutney,pomegran"
84,"french,wine,healthi,food,commanderi,eugn,corbir"
95,"sushi,bento,cream,the,crop,big,flavour,small,price,tantan,ramen,japanes,ramen,noodl,with,spici,pork,minc"
96,"sushi,bento,cream,the,crop,big,flavour,small,price,hiyayako,bed,mix,salad,japanes,soft,tofu,dri,tuna,flake,with,soy,dress"
101,"indian,tandoori,big,flavour,small,price,naan,zafran,great,share,famili,size,naan"
105,"american,western,burger,pasta,smoothi,most,love,burger,fast,lunch,banana,smoothi"
110,"chines,soup,poulet,citronnel,parfum,pice"
135,"pizza,pasta,gluten,free,penn,arrabbiata,mit,tomatenso,und,chili"
138,"indian,tandoori,big,flavour,small,price,zafran,yakhni,shorba,rich,lamb,broth,with,potato,flavor,with,whole,spice,finish,with,cream,coriand"
141,"indian,tandoori,big,flavour,small,price,gosht,kairi,kheema,lamb,minc,cook,with,onion,tomato,coriand,chilli,turmer,flavor,with,raw,mango"
143,"sushi,bento,cream,the,crop,big,flavour,small,price,roll,platter,tempura,roll,salmon,avocado,cook,tuna,california,roll"
144,"sushi,bento,cream,the,crop,big,flavour,small,price,roll,sushi,platter,california,roll,assort,sushi"
156,"pizza,pasta,gluten,free,zuppa,verdur,gemsesupp"
160,"sushi,bento,cream,the,crop,big,flavour,small,price,edamam,poach,green,soy,bean,toss,with,salt"
161,"sushi,bento,cream,the,crop,big,flavour,small,price,karaag,deepfri,marin,chicken"
166,"chines,crevett,ssame,sur,canap,pice"
167,"chines,nem,poulet,pice"
172,"indian,tandoori,big,flavour,small,price,feta,rocket,crumbl,feta,wild,rocket,with,balsam,honey,dress"
181,"american,western,burger,pasta,smoothi,most,love,burger,fast,lunch,cocacola,light"
182,"singaporean,burger,guilti,pleasur,taco,big,flavour,small,price,hot,chick,inspir,singaporean,nasi,lemak,spice,buttermilk,fri,whole,chicken,thigh,roast,peanut,homemad,sambal,chilli"
187,"french,wine,healthi,food,tempranillomerlot,somontano,espagn"
188,"french,wine,healthi,food,chteau,bertinat,lartigu,bordeau,saint,emilion"
191,"pizza,pasta,gluten,free,pizz,vegetariana,mit,tomaten,mozzarella,pilzen,oliven,zucchini,und,paprika"
192,"pizza,pasta,gluten,free,saltimbocca,pietro,focaccia,mit,bffelmozzarella,rohschinken,und,blattsalat"
193,"pizza,pasta,gluten,free,pizz,regina,mit,tomaten,bffelks,und,basilikum"
196,"indian,tandoori,big,flavour,small,price,fresh,juic,mango,orang,watermelon,pineappl"
197,"indian,tandoori,big,flavour,small,price,aloo,masala,saut,potato,cook,tangi,masala,temper,with,dri,coriand,cumin,dri,red,chilli,curri,leav"
198,"indian,tandoori,big,flavour,small,price,raan,zafran,brais,leg,babi,lamb,flavor,with,masala,finish,the,tandoor"
205,"sushi,bento,cream,the,crop,big,flavour,small,price,karaag,donburi,deepfri,marin,chciken,bed,rice"
217,"pizza,pasta,gluten,free,pollo,con,insal,patatin,halb,hhnchen,mit,salat,und,pomm"
221,"indian,tandoori,big,flavour,small,price,plain,rice,basmati,rice"
230,"italian,guilti,pleasur,onli,deliveroo,insalata,caesar,lechuga,variada,tomatito,parmigiano,reggiano,picatost,pollo,asado,salsa,especi,caesar"
232,"french,wine,healthi,food,sauvignonviogni,pay,doc"
241,"sushi,bento,cream,the,crop,big,flavour,small,price,kake,udon,fresh,japanes,udon,with,abura,age,shallot"
242,"sushi,bento,cream,the,crop,big,flavour,small,price,tempura,udon,cold,thin,buckwheat,noodl,thick,udon,noodl,with,deepfri,tiger,prawn,and,veget,tempura"
243,"sushi,bento,cream,the,crop,big,flavour,small,price,tokyo,ramen,japanes,ramen,noodl,with,shoyu,base"
244,"sushi,bento,cream,the,crop,big,flavour,small,price,ton,katsu,deepfri,pork,loin,cutlet,with,specialmad,bbq,sauc"
245,"chines,assorti,vapeur,pice"
248,"french,wine,healthi,food,cabillaud,lard,romarin,accompagn,dune,crme,dpinard,just,pol,lail,crme,etdun,mouss,carott,bio,gingembr"
253,"indian,tandoori,big,flavour,small,price,mango,passion,mango,passion,fruit,lemon"
254,"indian,tandoori,big,flavour,small,price,naan,bread,made,from,refin,flour,plain,butter,garlic"
288,"indian,tandoori,big,flavour,small,price,rasmalai,cottag,chees,dumpl,with,pistachio,flavor,milk"
289,"indian,tandoori,big,flavour,small,price,gulab,jamun,deepfri,cottag,chees,dumpl,sugar,syrup"
290,"sushi,bento,cream,the,crop,big,flavour,small,price,spider,roll,deepfri,soft,shell,crab,with,season,sauc"
291,"sushi,bento,cream,the,crop,big,flavour,small,price,rainbow,roll,avocado,cucumb,crab,stick,wrap,with,salmon,tuna,kingfish"
293,"indian,tandoori,big,flavour,small,price,dhabe,murgh,boneless,chicken,cook,with,onion,whole,spice,yoghurt"
294,"indian,tandoori,big,flavour,small,price,fish,curri,white,fish,tomato,tamarind,gravi,temper,with,mustard,seed,curri,leav"
298,"italian,onli,deliveroo,guilti,pleasur,flneur,creami,romig,bolognaisesau"
299,"italian,onli,deliveroo,guilti,pleasur,flneur,sweet,chunki,bolo,langer,doorgekookt,meer,vlee"
305,"italian,guilti,pleasur,onli,deliveroo,pizza,formaggi,salsa,tomat,mozzarella,seleccin,queso,italiano,lombardia"
313,"sushi,bento,cream,the,crop,big,flavour,small,price,toro,tartar,fresh,chop,tuna,belli,with,wasabi,citru,sauc"
315,"singaporean,burger,guilti,pleasur,taco,big,flavour,small,price,cauliflow,and,mushroom,fritter,panko,crumb,cauliflow,and,mushroom,fritter,coriand,and,mint"
317,"italian,guilti,pleasur,onli,deliveroo,papardel,burratina,affumicata,bufala,olio,tartufo,tomatito,italiano,burrata,andria,igp,aceit,trufa,parmiggiano,reggiano,albahaca,fresca"
322,"indian,tandoori,big,flavour,small,price,paneer,tikka,cottag,chees,bell,pepper,marin,with,labneh,kashmiri,chilli,mustard,oil"
323,"indian,tandoori,big,flavour,small,price,corn,spinach,kebab,grill,corn,spinach,patti,flavor,with,ginger,green,chilli,coriand"
324,"indian,tandoori,big,flavour,small,price,tandoori,aloo,potato,mash,cashew,nut,ginger,coriand,stuf,potato,barrel"
